pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
882,664040,"Lowe, Brandon",882,100,0.269,0.285,0.309,0.554,0.385,0.382,0.26,52,193,89.8,18.1,2194,87.7,87.69,148,414,468,0,6.43,114,154,123,147,291,324,301
876,660670,"Acuña Jr., Ronald",876,100,0.25,0.331,0.302,0.581,0.417,0.425,0.257,40,160,92.4,18.6,2251,89.4,89.83,106,355,521,0.4,6.54,105,151,119,145,312,323,295
876,669242,"Edman, Tommy",876,100,0.25,0.118,0.301,0.368,0.302,0.313,0.265,51,204,86.3,7.8,2300,88.2,88.51,71,374,502,0.3,6.41,112,149,108,151,291,320,300
871,575929,"Contreras, Willson",871,100,0.243,0.164,0.307,0.407,0.339,0.356,0.249,46,189,89.3,8.8,2358,89.2,89.66,140,417,454,0.5,6.54,106,151,117,146,301,325,297
870,621043,"Correa, Carlos",870,100,0.264,0.119,0.324,0.383,0.308,0.313,0.253,53,201,88.6,11.4,2276,88.4,88.17,100,410,460,-0.2,6.28,107,151,120,146,302,328,294
869,593934,"Sanó, Miguel",869,100,0.204,0.274,0.301,0.478,0.317,0.324,0.214,38,186,95.2,20.2,2299,88.1,88.3,175,411,458,0.2,6.32,106,152,123,145,306,333,303
863,668804,"Reynolds, Bryan",863,100,0.189,0.168,0.231,0.357,0.278,0.312,0.227,35,185,87.5,10.2,2255,87.6,87.72,112,404,459,0.1,6.37,114,153,119,150,297,320,294
862,663656,"Tucker, Kyle",862,100,0.268,0.244,0.303,0.512,0.349,0.331,0.265,56,209,90.8,14.5,2227,88.3,88.13,98,435,427,-0.2,6.27,116,159,121,153,293,327,304
861,572816,"Dickerson, Corey",861,100,0.258,0.144,0.283,0.402,0.308,0.307,0.252,50,194,85.7,11.1,2156,89.8,90.09,118,460,401,0.3,6.5,113,150,118,149,290,321,301
860,518735,"Grandal, Yasmani",860,100,0.23,0.193,0.299,0.422,0.338,0.327,0.207,37,161,90.3,15.7,2254,88.1,88.34,90,293,567,0.2,6.34,113,162,127,150,298,329,303
858,621035,"Taylor, Chris",858,100,0.27,0.205,0.344,0.476,0.364,0.37,0.27,50,185,86,8.4,2293,88.4,86.35,125,385,473,-2.1,6.21,108,151,114,147,305,325,299
857,605137,"Bell, Josh",857,100,0.226,0.138,0.273,0.364,0.286,0.297,0.228,44,195,91.7,5.9,2283,87.9,87.69,132,393,464,-0.2,6.37,114,162,132,151,303,325,301
855,545341,"Grichuk, Randal",855,100,0.273,0.208,0.299,0.481,0.337,0.333,0.266,59,216,88.9,12.6,2252,87.9,87.93,102,442,413,0,6.28,106,152,119,145,298,323,291
849,452678,"Cabrera, Asdrúbal",849,100,0.242,0.205,0.26,0.447,0.319,0.316,0.242,46,190,89.1,13.5,2194,88.4,88.68,80,391,458,0.3,6.44,111,158,124,148,295,321,298
849,543939,"Wong, Kolten",849,100,0.265,0.061,0.311,0.326,0.304,0.291,0.241,48,181,84.8,8.8,2314,88.7,88.74,59,373,476,0,6.39,115,151,103,151,290,318,301
847,609275,"Mondesi, Adalberto",847,100,0.256,0.16,0.35,0.416,0.305,0.266,0.213,56,219,85.4,12.9,2205,87.5,87.64,184,462,385,0.1,6.25,102,145,100,147,297,322,294
847,660294,"Tsutsugo, Yoshi",847,100,0.197,0.197,0.23,0.395,0.309,0.325,0.211,31,157,90.2,17.2,2192,88.9,88.89,78,336,511,0,6.47,114,150,126,148,290,324,301
846,443558,"Cruz, Nelson",846,100,0.303,0.292,0.36,0.595,0.411,0.377,0.265,56,185,91.6,9.4,2321,88.4,88.69,138,403,443,0.3,6.36,106,153,123,146,307,332,302
844,600869,"Candelario, Jeimer",844,100,0.297,0.205,0.372,0.503,0.373,0.353,0.275,55,185,89.8,12.7,2258,87.5,87.33,105,380,464,-0.2,6.32,112,154,124,151,297,326,296
843,571976,"Myers, Wil",843,100,0.288,0.318,0.331,0.606,0.4,0.392,0.282,57,198,90.6,13,2252,88.4,88.29,93,359,484,-0.1,6.21,110,153,119,146,302,327,302
841,641857,"McMahon, Ryan",841,100,0.215,0.203,0.286,0.419,0.311,0.297,0.201,37,172,90.1,9.2,2268,89.4,89.64,125,398,443,0.2,6.24,113,157,124,150,299,331,311
840,606192,"Hernández, Teoscar",840,100,0.289,0.289,0.348,0.579,0.384,0.398,0.294,55,190,93.3,15.3,2246,88.1,88.06,136,390,450,0,6.31,104,151,119,144,300,323,292
837,595777,"Profar, Jurickson",837,100,0.278,0.15,0.293,0.428,0.335,0.334,0.279,50,180,86.8,11,2240,88.9,88.88,79,394,443,0,6.24,110,153,116,150,296,323,297
836,598265,"Bradley Jr., Jackie",836,100,0.283,0.168,0.343,0.45,0.352,0.305,0.226,54,191,88,4.2,2169,88.4,88.46,98,379,457,0.1,6.33,114,149,119,146,283,321,304
836,502210,"Reddick, Josh",836,100,0.245,0.133,0.294,0.378,0.304,0.301,0.245,46,188,85.9,19.1,2240,89,88.67,88,389,447,-0.3,6.28,116,159,119,152,290,325,301
832,605113,"Ahmed, Nick",832,100,0.266,0.136,0.324,0.402,0.318,0.302,0.244,53,199,87.4,9.1,2272,89.1,88.87,110,401,431,-0.2,6.26,108,152,115,146,304,324,295
832,666971,"Gurriel Jr., Lourdes",832,100,0.308,0.226,0.351,0.534,0.372,0.345,0.28,64,208,90.8,10.5,2272,88.4,88.27,112,426,406,-0.1,6.3,108,151,119,146,300,322,290
829,607680,"Pillar, Kevin",829,100,0.288,0.173,0.335,0.462,0.341,0.323,0.268,60,208,86.8,13.6,2217,88.3,88.41,109,430,399,0.1,6.27,104,151,115,145,298,322,290
829,518934,"LeMahieu, DJ",829,100,0.364,0.226,0.37,0.59,0.428,0.361,0.308,71,195,91.3,2.3,2196,89.4,89.48,41,366,463,0.1,6.35,109,153,121,149,310,318,281
828,657108,"White, Evan",828,100,0.176,0.17,0.264,0.346,0.261,0.29,0.189,32,182,91.1,13.7,2307,89.1,88.76,138,363,465,-0.3,6.15,108,152,120,147,300,321,292
828,592696,"Rosario, Eddie",828,100,0.257,0.219,0.248,0.476,0.333,0.316,0.244,54,210,86.9,17.4,2251,88.4,88.36,97,430,398,0,6.3,115,152,117,151,297,327,302
827,665742,"Soto, Juan",827,100,0.351,0.344,0.363,0.695,0.478,0.474,0.332,54,154,92.1,4.2,2155,88.8,89.01,64,299,528,0.2,6.4,113,150,120,151,297,324,309
826,642715,"Adames, Willy",826,100,0.259,0.222,0.388,0.481,0.347,0.305,0.228,48,185,88.8,12.5,2237,88.2,88.36,148,382,444,0.2,6.45,105,151,116,146,305,321,287
